English,Italian
private,privato
probable,probabile
process,processi
produce,produrre
profit,profitto
property,proprietà
prose,prosa
protest,protesta
public,pubblico
pull,tiro
pump,pompa
punishment,punizione
purpose,scopo
push,spingere
put,mettere
quality,qualità
question,domanda
quick,Presto
quiet,tranquillo
quite,abbastanza
rail,sbarra
rain,piovere
range,allineare
rat,ratto
rate,Vota
ray,Ray
reaction,reazione
reading,lettura
ready,pronto
reason,Motivo
receipt,ricevuta
record,disco
red,rosso
regret,rimpiangere
regular,regolare
relation,relazione
religion,religione
representative,rappresentante
request,richiesta
respect,rispetto
responsible,responsabile
rest,riposo
reward,ricompensa
rhythm,ritmo
rice,Riso
right,Giusto
ring,squillo
river,fiume
road,strada
rod,asta
roll,rotolo
roof,tetto
room,camera
root,radice
rough,grezzo
round,il giro
rub,strofinare
rule,regola
run,correre
sad,triste
safe,sicuro
sail,vela
salt,sale
same,stesso
sand,sabbia
say,dire
scale,scala
school,scuola
science,scienza
scissors,forbici
screw,vite
sea,mare
seat,posto a sedere
second,secondo
secret,segreto
secretary,segretario
see,vedere
seed,seme
seem,sembrare
selection,selezione
self,se stesso
send,Spedire
sense,senso
separate,separato
serious,grave
servant,servitore
sex,sesso
shade,ombra
shake,scuotere
shame,vergogna
sharp,acuto
sheep,pecora
shelf,mensola
ship,nave
shirt,camicia
shock,shock
shoe,scarpa
short,breve
shut,chiuso
side,lato
sign,cartello
silk,seta
silver,argento
simple,semplice
sister,sorella
size,taglia
skin,pelle
skirt,gonna
sky,cielo
sleep,dormire
slip,scontrino
slope,pendenza
slow,Lento
small,piccolo
smash,schiacciata
smell,odore
smile,Sorridi
smoke,Fumo
smooth,liscio
snake,serpente
sneeze,starnuto
snow,neve
so,così
soap,sapone
society,società
sock,calzino
soft,morbido
solid,solido
some,alcuni
son,figlio
song,canzone
sort,ordinare
sound,suono
soup,zuppa
south,Sud
space,spazio
spade,vanga
special,speciale
sponge,spugna
spoon,cucchiaio
spring,molla
square,quadrato
stage,palcoscenico
stamp,francobollo
star,stella
start,inizio
statement,dichiarazione
station,stazione
steam,vapore
steel,acciaio
stem,stelo
step,fare un passo
stick,bastone
sticky,appiccicoso
stiff,rigido
still,ancora
stitch,cucire
stocking,calza
stomach,stomaco
stone,pietra
stop,fermare
store,negozio
story,storia
straight,dritto
strange,strano
street,strada
stretch,stirata
strong,forte
structure,struttura
substance,sostanza
such,come
sudden,improvviso
sugar,zucchero
suggestion,suggerimento
summer,estate
sun,sole
support,sostegno
surprise,sorpresa
sweet,dolce
swim,nuotata
system,sistema
table,tavolo
tail,coda
take,prendere
talk,parlare
tall,alto
taste,gusto
tax,imposta
teaching,insegnamento
tendency,tendenza
test,test
than,di
that,quello
the,il
then,poi
theory,teoria
there,là
thick,spesso
thin,magro
thing,cosa
this,questo
though,anche se
thought,pensiero
thread,filo
throat,gola
through,attraverso
thumb,pollice
thunder,tuono
ticket,biglietto
tight,stretto
till,fino
time,tempo
tin,lattina
tired,stanco
to,a
toe,dito del piede
together,insieme
tomorrow,Domani
tongue,lingua
tooth,dente
top,superiore
touch,tocco
town,cittadina
trade,commercio
train,treno
transport,trasporto
tray,vassoio
tree,albero
trick,trucco
trouble,problemi
trousers,pantaloni
TRUE,VERO
turn,giro
twist,intrecciare
umbrella,ombrello
under,sotto
unit,unità
up,su
use,utilizzo
value,valore
verse,versetto
very,molto
vessel,nave
view,Visualizza
violent,violento
voice,voce
waiting,in attesa
walk,camminare
wall,parete
war,la guerra
warm,caldo
wash,lavaggio
waste,rifiuto
watch,guarda
water,acqua
wave,onda
wax,cera
way,modo
weather,tempo metereologico
week,settimana
weight,peso
well,bene
west,ovest
wet,bagnato
wheel,ruota
when,quando
where,dove
while,mentre
whip,frusta
whistle,fischio
white,bianca
who,chi
why,perché
wide,largo
will,volere
wind,il vento
window,finestra
wine,vino
wing,ala
winter,inverno
wire,filo
wise,saggio
with,insieme a
woman,donna
wood,Di legno
wool,lana vergine
word,parola
work,opera
worm.,verme.
wound,ferita
writing,scrivere
wrong.,sbagliato.
year.,anno.
yellow,giallo
yes.,sì.
yesterday,ieri
you,voi
young.,giovane.
able,capace
account,account
angle,angolo
awake,sveglio
come,venire
glass,bicchiere
page,pagina
